customer_id,gender,age,city,loyalty_score
169,female,52,Mumbai,71.8
170,male,24,Bangalore,61.2
171,male,59,Mumbai,28.6
172,female,52,Delhi,65.4
173,male,19,Delhi,65.6
174,male,32,Hyderabad,59.2
175,female,26,Mumbai,10
176,female,64,Delhi,99.5
177,female,34,Mumbai,40
178,female,56,Delhi,63.8
179,male,69,Bangalore,88.6
180,female,35,Delhi,42.3
181,female,32,Mumbai,77.4
182,male,35,Hyderabad,97.2
183,male,41,Mumbai,35.9
184,male,40,Chennai,40.5
185,female,29,Mumbai,90.6
186,male,40,Bangalore,16
187,female,38,Kolkata,2.9
188,male,43,Bangalore,90.9
189,female,25,Bangalore,82.2
190,male,47,Delhi,97.3
191,female,51,Bangalore,5.8
192,female,19,Mumbai,15.6
193,male,22,Kolkata,10.5
194,male,48,Hyderabad,68.3
195,female,50,Bangalore,60.6
196,male,21,Mumbai,35.9
197,female,23,Delhi,5.7
198,female,40,Delhi,64
199,female,62,Hyderabad,57
200,male,36,Hyderabad,11.3
201,female,60,Mumbai,90.9
202,female,62,Hyderabad,19.9
203,female,25,Hyderabad,74.4
204,female,56,Delhi,88.5
205,male,30,Mumbai,57.9
206,male,18,Kolkata,24.7
207,female,23,Hyderabad,30.9
208,male,24,Mumbai,88.6
209,male,65,Bangalore,29.8
210,female,44,Delhi,74.6
211,male,32,Kolkata,99
212,male,69,Delhi,100
213,male,51,Delhi,53.3
214,male,40,Chennai,82.7
215,male,65,Mumbai,99
216,male,66,Bangalore,37.5
217,female,41,Hyderabad,25.2
218,male,32,Bangalore,11.4
219,female,52,Mumbai,14.1
220,female,21,Delhi,85.4
221,female,61,Chennai,58.9
222,male,54,Mumbai,87.4
223,male,34,Kolkata,78.9
224,female,48,Kolkata,67.4
225,female,55,Mumbai,60.9
226,female,27,Hyderabad,4.8
227,male,67,Bangalore,87.2
228,male,44,Bangalore,41.8
229,male,59,Hyderabad,56
230,female,23,Chennai,2.2
231,male,23,Delhi,93.6
232,male,69,Delhi,90.3
233,female,32,Kolkata,54.3
234,male,21,Chennai,57.7
235,female,65,Hyderabad,70.5
236,male,57,Mumbai,26.5
237,female,24,Bangalore,22.2
238,male,68,Mumbai,67.4
239,female,66,Bangalore,10.4
240,male,62,Mumbai,45.4
241,female,64,Hyderabad,49.3
242,female,43,Hyderabad,38.1
243,male,48,Chennai,18.5
244,male,19,Mumbai,35.5
245,female,45,Mumbai,33.8
246,male,59,Chennai,49.9
247,female,30,Chennai,67.5
248,female,35,Hyderabad,96.8
249,male,47,Hyderabad,14.4
250,male,28,Kolkata,87.3
251,male,30,Mumbai,28.4
252,female,68,Hyderabad,59.1
253,female,41,Hyderabad,54.7
254,male,46,Mumbai,55.7
255,female,22,Chennai,72.3
256,female,52,Mumbai,38.2
257,male,36,Delhi,31.9
258,female,30,Mumbai,85.3
259,female,22,Delhi,22
260,female,61,Mumbai,18
261,male,31,Delhi,1.6
262,male,55,Delhi,21.1
263,female,39,Mumbai,51.9
264,male,26,Kolkata,53.9
265,female,66,Hyderabad,25.4
266,male,57,Bangalore,7.2
267,female,43,Hyderabad,74.5
268,female,62,Delhi,75.8
269,female,22,Mumbai,99.8
270,female,46,Mumbai,90
271,male,39,Mumbai,92.6
272,female,66,Mumbai,79.8
273,female,20,Kolkata,61.6
274,male,45,Bangalore,12.9
275,male,55,Chennai,62.2
276,female,31,Delhi,5.6
277,female,64,Bangalore,88.5
278,male,31,Hyderabad,48.2
279,female,60,Chennai,69.7
280,female,28,Chennai,5.2
281,female,26,Mumbai,53.4
282,female,55,Bangalore,30.1
283,female,64,Hyderabad,28.5
284,female,61,Mumbai,39
285,female,23,Mumbai,0.1
286,female,18,Kolkata,46.7
287,female,42,Delhi,48.7
288,male,33,Chennai,86.3
289,male,69,Hyderabad,44.9
290,male,32,Chennai,36.4
291,female,51,Bangalore,99.5
292,female,34,Delhi,57.1
293,female,20,Mumbai,47.3
294,male,20,Delhi,49.6
295,male,54,Mumbai,80.9
296,female,34,Delhi,34.1
297,male,66,Mumbai,38.9
298,male,69,Chennai,75.6
299,female,55,Chennai,7.3
300,female,18,Chennai,86.5
